state,dateweek,candidate_name,pct_estimate_mean,pct_trend_adjusted_mean
Wisconsin,9,Joseph R. Biden Jr.,45.659279999999995,45.516827500000005
West Virginia,9,Joseph R. Biden Jr.,31.0030475,30.7502325
Virginia,9,Joseph R. Biden Jr.,48.120165,48.2458075
Utah,9,Joseph R. Biden Jr.,31.959165,31.6658125
Texas,9,Joseph R. Biden Jr.,45.3069525,45.256417500000005
Tennessee,9,Joseph R. Biden Jr.,39.7455275,39.508720000000004
South Carolina,9,Joseph R. Biden Jr.,41.4385675,41.317175000000006
Pennsylvania,9,Joseph R. Biden Jr.,48.127995,47.9986375
Oklahoma,9,Joseph R. Biden Jr.,34.70994,34.666714999999996
North Dakota,9,Joseph R. Biden Jr.,37.998365,37.6711225
North Carolina,9,Joseph R. Biden Jr.,48.735462500000004,48.6494075
New York,9,Joseph R. Biden Jr.,55.752055000000006,55.7099975
New Mexico,9,Joseph R. Biden Jr.,54.9641275,54.9251625
New Jersey,9,Joseph R. Biden Jr.,53.7554375,53.6537525
New Hampshire,9,Joseph R. Biden Jr.,48.112880000000004,47.6385075
Nevada,9,Joseph R. Biden Jr.,46.85692,46.5827975
National,9,Joseph R. Biden Jr.,49.6470125,49.6328975
Montana,9,Joseph R. Biden Jr.,33.898422499999995,33.845794999999995
Missouri,9,Joseph R. Biden Jr.,42.6140025,42.42319499999999
Mississippi,9,Joseph R. Biden Jr.,41.75371666666666,41.74310666666667
Michigan,9,Joseph R. Biden Jr.,47.3098575,47.192152500000006
Maryland,9,Joseph R. Biden Jr.,59.9983475,59.940102499999995
Kansas,9,Joseph R. Biden Jr.,44.299255,44.044467499999996
Iowa,9,Joseph R. Biden Jr.,45.3356925,45.17206
Georgia,9,Joseph R. Biden Jr.,46.294107499999996,46.189285000000005
Florida,9,Joseph R. Biden Jr.,49.344635,49.3739175
Delaware,9,Joseph R. Biden Jr.,55.898325,55.54064
Connecticut,9,Joseph R. Biden Jr.,53.0108975,53.6580925
Colorado,9,Joseph R. Biden Jr.,46.775785,46.715790000000005
California,9,Joseph R. Biden Jr.,59.1009175,59.035812500000006
Arizona,9,Joseph R. Biden Jr.,44.478435000000005,44.373617499999995
Alabama,9,Joseph R. Biden Jr.,38.4538275,38.34487
Wisconsin,9,Donald Trump,46.2516825,46.446365
West Virginia,9,Donald Trump,65.998355,66.4809625
Virginia,9,Donald Trump,42.9228725,43.296372500000004
Utah,9,Donald Trump,50.44579,50.6533575
Texas,9,Donald Trump,49.092622500000004,49.1707175
Tennessee,9,Donald Trump,56.24073,56.137155
South Carolina,9,Donald Trump,51.6564775,51.537077499999995
Pennsylvania,9,Donald Trump,45.1938375,45.351142499999995
Oklahoma,9,Donald Trump,63.258335,63.0843425
North Dakota,9,Donald Trump,56.995895,56.9256275
North Carolina,9,Donald Trump,45.954860000000004,46.256257500000004
New York,9,Donald Trump,37.25177,37.1138175
New Mexico,9,Donald Trump,46.492112500000005,47.3402675
New Jersey,9,Donald Trump,36.2423,35.916137500000005
New Hampshire,9,Donald Trump,45.67899249999999,46.0165225
Nevada,9,Donald Trump,41.1329525,41.9812075
National,9,Donald Trump,45.66824749999999,45.558857499999995
Montana,9,Donald Trump,56.195885,56.088385
Missouri,9,Donald Trump,50.763785000000006,50.8815675
Mississippi,9,Donald Trump,57.238463333333335,57.2209
Michigan,9,Donald Trump,44.287345,44.399535
Maryland,9,Donald Trump,34.996085,34.792604999999995
Kansas,9,Donald Trump,52.484472499999995,52.232685
Iowa,9,Donald Trump,48.4765575,48.9204
Georgia,9,Donald Trump,46.96335,48.20403
Florida,9,Donald Trump,47.2832925,47.564465
Delaware,9,Donald Trump,40.195949999999996,40.4467425
Connecticut,9,Donald Trump,33.67479,34.67077
Colorado,9,Donald Trump,44.291802499999996,44.078957499999994
California,9,Donald Trump,34.457305,34.43737
Arizona,9,Donald Trump,47.8065675,48.147025
Alabama,9,Donald Trump,59.159855,59.1973525
Wisconsin,10,Joseph R. Biden Jr.,45.49016571428571,45.427518571428564
West Virginia,10,Joseph R. Biden Jr.,31.00427142857143,30.836392857142858
Washington,10,Joseph R. Biden Jr.,57.63982333333333,57.63026
Virginia,10,Joseph R. Biden Jr.,47.87100857142857,48.10079428571429
Utah,10,Joseph R. Biden Jr.,32.76940857142858,32.741631428571424
Texas,10,Joseph R. Biden Jr.,45.376491428571434,45.40286142857143
Tennessee,10,Joseph R. Biden Jr.,39.739548571428564,39.63693428571428
South Carolina,10,Joseph R. Biden Jr.,41.67049571428571,41.65146571428571
Pennsylvania,10,Joseph R. Biden Jr.,47.91413,47.88403428571428
Oklahoma,10,Joseph R. Biden Jr.,34.584892857142854,34.624925714285716
North Dakota,10,Joseph R. Biden Jr.,37.99971,37.839369999999995
North Carolina,10,Joseph R. Biden Jr.,48.73758857142856,48.70374857142857
New York,10,Joseph R. Biden Jr.,55.75343285714286,55.874357142857136
New Mexico,10,Joseph R. Biden Jr.,54.962241428571424,55.241838571428566
New Jersey,10,Joseph R. Biden Jr.,53.75682142857143,53.875484285714286
New Hampshire,10,Joseph R. Biden Jr.,48.10953857142857,47.73185714285715
